SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,OWNER_DESCR,STATE,COUNTY
Lassen-Modoc Unit,2014,2456879.5,222,1518.0,1,Lightning,2456883.5,226.0,800.0,MISSING/NOT SPECIFIED,CA,SHASTA
Sonoma-Lake Napa Unit,2014,2456839.5,182,1207.0,2,Equipment Use,2456841.5,184.0,800.0,MISSING/NOT SPECIFIED,CA,NAPA
Sonoma-Lake Napa Unit,2014,2456911.5,254,1515.0,2,Equipment Use,2456913.5,256.0,1730.0,MISSING/NOT SPECIFIED,CA,NAPA
Humboldt-Del Norte Unit,2014,2456661.5,4,1235.0,5,Debris Burning,2456665.5,8.0,1800.0,MISSING/NOT SPECIFIED,CA,HUMBOLDT
CDF - Merced-Mariposa Unit,2014,2456672.5,15,1521.0,5,Debris Burning,2456686.5,29.0,,MISSING/NOT SPECIFIED,CA,MADERA
Tehama-Glenn Unit,2014,2456783.5,126,1050.0,9,Miscellaneous,2456813.5,156.0,1150.0,MISSING/NOT SPECIFIED,CA,TEHAMA
Mendocino Unit,2014,2456812.5,155,1918.0,9,Miscellaneous,2456814.5,157.0,1345.0,MISSING/NOT SPECIFIED,CA,MENDOCINO
Siskiyou Unit,2014,2456868.5,211,1326.0,9,Miscellaneous,2456871.5,214.0,1725.0,MISSING/NOT SPECIFIED,CA,SISKIYOU
Siskiyou Unit,2014,2456868.5,211,1556.0,9,Miscellaneous,2456873.5,216.0,1513.0,UNDEFINED FEDERAL,CA,SISKIYOU
Shasta-Trinity Unit,2014,2456893.5,236,1634.0,9,Miscellaneous,2456899.5,242.0,1857.0,MISSING/NOT SPECIFIED,CA,TRINITY
CDF - Monte Vista Unit,2014,2456791.5,134,1204.0,13,Missing/Undefined,2456793.5,136.0,1800.0,MISSING/NOT SPECIFIED,CA,SAN DIEGO
CDF - Merced-Mariposa Unit,2014,2456864.5,207,1534.0,13,Missing/Undefined,2456867.5,210.0,1800.0,MISSING/NOT SPECIFIED,CA,MERCED
