Country,Location,Region,Happiness,Logged GDP per capita,GDP per capita,Social support_old,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Morocco,MAR,Middle East and North Africa,4.918,8.903,7354.002487,0.56,66.208,0.774,-0.236,0.801
Mozambique,MOZ,Sub-Saharan Africa,4.794,7.158,1284.339683,0.744,54.706,0.882,0.061,0.684
Myanmar,MMR,Southeast Asia,4.426,8.541,5120.462265,0.779,59.302,0.876,0.509,0.66
Namibia,NAM,Sub-Saharan Africa,4.574,9.161,9518.570891,0.818,56.799,0.719,-0.149,0.847
Nepal,NPL,South Asia,5.269,8.12,3361.020745,0.774,64.233,0.782,0.152,0.727
Netherlands,NLD,Western Europe,7.464,10.932,55938.04399,0.942,72.4,0.913,0.175,0.338
New Zealand,NZL,North America and ANZ,7.277,10.643,41898.2777,0.948,73.4,0.929,0.134,0.242
Nicaragua,NIC,Latin America and Caribbean,5.972,8.62,5541.386394,0.864,67.657,0.836,0.02,0.664
Niger,NER,Sub-Saharan Africa,5.074,7.098,1209.545563,0.641,53.78,0.806,0.018,0.693
Nigeria,NGA,Sub-Saharan Africa,4.759,8.533,5079.661985,0.74,50.102,0.737,0.037,0.878
Norway,NOR,Western Europe,7.392,11.053,63133.07,0.954,73.3,0.96,0.093,0.27
Pakistan,PAK,South Asia,4.934,8.458,4712.623319,0.651,58.709,0.726,0.098,0.787
Palestinian Territories,PSE,Middle East and North Africa,4.517,8.485,4841.597465,0.826,62.25,0.653,-0.163,0.821
Panama,PAN,Latin America and Caribbean,6.18,10.35,31257.04282,0.896,69.652,0.872,-0.166,0.856
Paraguay,PRY,Latin America and Caribbean,5.653,9.448,12682.77433,0.893,65.9,0.876,0.028,0.882
Peru,PER,Latin America and Caribbean,5.84,9.458,12810.23833,0.832,68.25,0.822,-0.154,0.891
Philippines,PHL,Southeast Asia,5.88,9.076,8742.924293,0.83,62,0.917,-0.097,0.742
Poland,POL,Central and Eastern Europe,6.166,10.382,32273.44388,0.898,69.702,0.841,-0.165,0.735
Portugal,PRT,Western Europe,5.929,10.421,33556.97435,0.879,72.6,0.892,-0.244,0.887
Romania,ROU,Central and Eastern Europe,6.14,10.284,29260.68251,0.832,67.355,0.845,-0.219,0.938
Russia,RUS,Commonwealth of Independent States,5.477,10.189,26608.87272,0.903,64.703,0.718,-0.111,0.845
Rwanda,RWA,Sub-Saharan Africa,3.415,7.676,2155.978587,0.552,61.4,0.897,0.061,0.167
Saudi Arabia,SAU,Middle East and North Africa,6.494,10.743,46304.75803,0.891,66.603,0.877,-0.149,0.684
Senegal,SEN,Sub-Saharan Africa,5.132,8.118,3354.305421,0.71,59.802,0.695,-0.046,0.801
Serbia,SRB,Central and Eastern Europe,6.078,9.787,17800.82351,0.873,68.6,0.778,0.002,0.835
Sierra Leone,SLE,Sub-Saharan Africa,3.849,7.434,1692.564308,0.63,51.651,0.717,0.084,0.866
Singapore,SGP,Southeast Asia,6.377,11.488,97538.26095,0.915,76.953,0.927,-0.018,0.082
Slovakia,SVK,Central and Eastern Europe,6.331,10.369,31856.60443,0.936,69.201,0.766,-0.124,0.911
Slovenia,SVN,Central and Eastern Europe,6.461,10.529,37384.07161,0.948,71.4,0.949,-0.101,0.806
South Africa,ZAF,Sub-Saharan Africa,4.956,9.403,12124.70032,0.86,56.904,0.749,-0.067,0.86
Spain,ESP,Western Europe,6.491,10.571,38987.64188,0.932,74.7,0.761,-0.081,0.745
Sri Lanka,LKA,South Asia,4.325,9.47,12964.88723,0.827,67.299,0.841,0.079,0.863
Swaziland,SWZ,Sub-Saharan Africa,4.308,9.065,8647.279139,0.77,50.833,0.647,-0.185,0.708
Sweden,SWE,Western Europe,7.363,10.867,52417.72099,0.934,72.7,0.945,0.086,0.237
Switzerland,CHE,Western Europe,7.571,11.117,67305.68604,0.942,74.4,0.919,0.025,0.292
Taiwan Province of China,TWN,East Asia,6.584,10.871,52627.81178,0.898,69.6,0.784,-0.07,0.721
Tajikistan,TJK,Commonwealth of Independent States,5.466,8.091,3264.950889,0.86,64.281,0.832,-0.056,0.553
Tanzania,TZA,Sub-Saharan Africa,3.623,7.876,2633.318192,0.702,57.999,0.833,0.183,0.577
Thailand,THA,Southeast Asia,5.985,9.805,18124.13945,0.888,67.401,0.884,0.287,0.895
Togo,TGO,Sub-Saharan Africa,4.107,7.362,1574.983382,0.569,54.914,0.619,0.032,0.772
Tunisia,TUN,Middle East and North Africa,4.596,9.266,10572.37768,0.691,67.201,0.656,-0.201,0.87
Turkey,TUR,Middle East and North Africa,4.948,10.24,28001.12593,0.822,67.199,0.576,-0.139,0.776
Turkmenistan,TKM,Commonwealth of Independent States,5.066,9.629,15199.22928,0.983,62.409,0.877,0.273,0.888
Uganda,UGA,Sub-Saharan Africa,4.636,7.677,2158.135644,0.781,56.101,0.709,0.122,0.855
Ukraine,UKR,Commonwealth of Independent States,4.875,9.436,12531.49056,0.888,64.902,0.724,-0.011,0.924
United Arab Emirates,ARE,Middle East and North Africa,6.561,11.085,65185.99994,0.844,67.333,0.932,0.074,0.589
United Kingdom,GBR,Western Europe,7.064,10.707,44667.43537,0.934,72.5,0.859,0.233,0.459
United States,USA,North America and ANZ,6.951,11.023,61267.2058,0.92,68.2,0.837,0.098,0.698
Uruguay,URY,Latin America and Caribbean,6.431,9.966,21290.15419,0.925,69.1,0.896,-0.092,0.59
Uzbekistan,UZB,Commonwealth of Independent States,6.179,8.836,6877.427836,0.918,65.255,0.97,0.311,0.515
Venezuela,VEN,Latin America and Caribbean,4.892,9.073,8716.734824,0.861,66.7,0.615,-0.169,0.827
Vietnam,VNM,Southeast Asia,5.411,8.973,7887.227832,0.85,68.034,0.94,-0.098,0.796
Yemen,YEM,Middle East and North Africa,3.658,7.578,1954.715622,0.832,57.122,0.602,-0.147,0.8
Zambia,ZMB,Sub-Saharan Africa,4.073,8.145,3446.10539,0.708,55.809,0.782,0.061,0.823
Zimbabwe,ZWE,Sub-Saharan Africa,3.145,7.943,2815.795236,0.75,56.201,0.677,-0.047,0.821
